question	answer
Nothing much.	What about the baseball game?
What about the baseball game?	It got rained out.
It got rained out.	Rained out?
Rained out?	Yes, Rained out.
Yes, Rained out.	How could that be?
How could that be?	Well, You cannot play baseball in a rainstorm.
Well, You cannot play baseball in a rainstorm.	I thought they were playing under a dome.
I thought they were playing under a dome.	The dome does not close.
The dome does not close.	Why does not it close?
Why does not it close?	Who knows? They said they'll fix it before next season.
Can i try your coffee?	Sure. Here you go.
Sure. Here you go.	Hmm, That is not bad.
Hmm, That is not bad.	There is nothing in it.
There is nothing in it.	What do you mean?
What do you mean?	I mean, It is just coffee.
I mean, It is just coffee.	I figured that.
I figured that.	It is not too bitter for you?
It is not too bitter for you?	It is a little bitter, But it is okay.
It is a little bitter, But it is okay.	There is no sugar or cream in it.
There is no sugar or cream in it.	No, It is a taste you have to get used to.
No, It is a taste you have to get used to.	Sort of like beer.
Let us take a walk.	What is the weather like?
What is the weather like?	Let me step outside and see.
Let me step outside and see.	It is a little chilly, Right?
It is a little chilly, Right?	Yes, It is.
Yes, It is.	I will put on my cap.
I will put on my cap.	Wear a jacket, Too.
Wear a jacket, Too.	I wonder if i should bring my gloves.
I wonder if i should bring my gloves.	Maybe you should, Just in case it gets colder.
Maybe you should, Just in case it gets colder.	I will put a glove in each pocket.
I will put a glove in each pocket.	We'll get warmer as we walk.
We'll get warmer as we walk.	Yes, But it gets colder as the sun goes down.
Look at the car chase on tv!	That driver is crazy.
That driver is crazy.	I cannot believe he hasn't crashed.
I cannot believe he hasn't crashed.	How fast is he going?
How fast is he going?	They say he is going 80 miles per hour.
They say he is going 80 miles per hour.	He is going to kill someone.
He is going to kill someone.	Look! He just hit that car.
Look! He just hit that car.	Oh, My goodness. No one is safe on the streets.
Oh, My goodness. No one is safe on the streets.	Now he is slowing down.
Now he is slowing down.	Maybe he ran out of gas.
Maybe he ran out of gas.	Look! He just got out of the car and started running.
Look! He just got out of the car and started running.	I hope the police catch him.
Tv news is so stupid.	They should not even call it news.
They should not even call it news.	Last night they told us about a cat in a sofa.
Last night they told us about a cat in a sofa.	Yesterday they told us about a dog in a pipe.
Yesterday they told us about a dog in a pipe.	Last week they told us about a bear in a back yard.
Last week they told us about a bear in a back yard.	Last month they told us about a mouse in a restaurant.
Last month they told us about a mouse in a restaurant.	The weatherman tells us the temperature in every town.
The weatherman tells us the temperature in every town.	The sports guy shows us players fighting.
The sports guy shows us players fighting.	"They always tell us ""what is next.""."
"They always tell us ""what is next.""."	"They always make ""what is next"" sound exciting, But it never is."
"They always make ""what is next"" sound exciting, But it never is."	It is more like news for kids.
It is more like news for kids.	They should have kid reporters.
I love my computer.	Computers are so cool.
Computers are so cool.	I love to go online.
I love to go online.	The internet is amazing.
The internet is amazing.	You can travel all over the world.
You can travel all over the world.	I know. I went to china yesterday.
I know. I went to china yesterday.	What did you do?
What did you do?	I stood on the great wall and looked all around.
I stood on the great wall and looked all around.	What was it like?
What was it like?	It was like the real thing.
It was like the real thing.	It was like being there?
It was like being there?	Yes, I felt like i was actually there.
The beatles are the best.	They are the best musical group ever.
They are the best musical group ever.	I love all their songs.
I love all their songs.	I do not know which one i like the best.
I do not know which one i like the best.	I like the ones i can sing along with.
I like the ones i can sing along with.	"So do i, Like ""she loves you.""."
"So do i, Like ""she loves you.""."	She loves you, Yeah, Yeah, Yeah!...
She loves you, Yeah, Yeah, Yeah!...	And you know you should be glad!
And you know you should be glad!	What a great song.
What a great song.	"How about ""let it be?""..."
"How about ""let it be?""..."	"Oh, Yes! ""let it be, Let it be""..."
"Oh, Yes! ""let it be, Let it be""..."	There will be an answer, Let it be!
Let us go to a movie.	I would rather not.
I would rather not.	Why not?
Why not?	You know i do not like crowds.
You know i do not like crowds.	Let us go to an early movie.
Let us go to an early movie.	Okay, That will not be very crowded.
Okay, That will not be very crowded.	What would you like to see?
What would you like to see?	Oh, I do not care. You're the one who wants to go out.
Oh, I do not care. You're the one who wants to go out.	"Well, I want to see ""the pursuit of happyness.""."
"Well, I want to see ""the pursuit of happyness.""."	What have you heard about it?
What have you heard about it?	It is based on a true story about a divorced man and his young son.
It is based on a true story about a divorced man and his young son.	Well, I hope it has a happy ending.
What is your favorite thing to do?	I like to watch people.
I like to watch people.	That is your favorite thing to do?
That is your favorite thing to do?	Well, It is one of them.
Well, It is one of them.	Where do you go to watch people?
Where do you go to watch people?	My girlfriend and i sit outside starbucks.
My girlfriend and i sit outside starbucks.	That sounds like a good spot.
That sounds like a good spot.	We watch people walk by with their dogs.
We watch people walk by with their dogs.	I guess you see lots of different dogs.
I guess you see lots of different dogs.	We do not even know what kind most of them are.
We do not even know what kind most of them are.	There are lots of different kinds, But they all have one thing in common.
There are lots of different kinds, But they all have one thing in common.	Yes, They love to sniff each other when they meet.
They call him father dollar bill.	Yes, He was on the tv news today.
Yes, He was on the tv news today.	Every easter sunday he gives away money.
Every easter sunday he gives away money.	Is it his money?
Is it his money?	No. Movie stars give him money to give to homeless people.
No. Movie stars give him money to give to homeless people.	How much money does he give away?
How much money does he give away?	This year he gave away $15, 000.
This year he gave away $15, 000.	That is a lot of money.
That is a lot of money.	He gave $100 to people in wheelchairs.
He gave $100 to people in wheelchairs.	What about the other homeless people?
What about the other homeless people?	They got $1 each.
They got $1 each.	People stood in line just to get one dollar?!.
Old movies are the best.	Even though they are in black and white.
Even though they are in black and white.	A good story is more important than color.
A good story is more important than color.	Actors did not curse back then.
Actors did not curse back then.	And there was no violence.
And there was no violence.	People today do not like that.
People today do not like that.	No, Today people like lots of action.
No, Today people like lots of action.	I like a good story.
I like a good story.	I like to see actors who are like real people.
I like to see actors who are like real people.	Like real people with real problems.
Like real people with real problems.	They still make movies like that.
They still make movies like that.	Yes, But they never make much money.
Do you get pbs on tv?	Yes, Everybody gets the public broadcasting system.
Yes, Everybody gets the public broadcasting system.	It puts me to sleep.
It puts me to sleep.	Tell me about it.
Tell me about it.	A gardening show follows a knitting show.
A gardening show follows a knitting show.	A cooking show follows a sewing show.
A cooking show follows a sewing show.	A travel show follows another travel show.
A travel show follows another travel show.	I will say! I have gone around the world a dozen times already!
I will say! I have gone around the world a dozen times already!	Now they are adding old tv shows to the old movies.
Now they are adding old tv shows to the old movies.	I sure would like to see something interesting for a change.
I sure would like to see something interesting for a change.	If more people donate money, Pbs could offer new shows.
If more people donate money, Pbs could offer new shows.	Who wants to donate? Public tv should be free.
"I love to watch ""judge judy.""."	Is that a tv show?
Is that a tv show?	Yes. It is on every afternoon.
Yes. It is on every afternoon.	What is so good about it?
What is so good about it?	They have interesting lawsuits.
They have interesting lawsuits.	Such as?
Such as?	Yesterday, A woman complained about a cell phone she bought on ebay.
Yesterday, A woman complained about a cell phone she bought on ebay.	Was something wrong with the phone?
Was something wrong with the phone?	It works only in canada.
It works only in canada.	Did the seller know that?
Did the seller know that?	Yes, And he did not tell the buyer.
Yes, And he did not tell the buyer.	I hope judge judy made the seller take the phone back.
That woman is a very good singer.	Yes, But she looks like a man.
Yes, But she looks like a man.	What difference does it make?
What difference does it make?	Female singers are supposed to be pretty.
Female singers are supposed to be pretty.	Singers are supposed to sound good.
Singers are supposed to sound good.	They should look good, Too.
They should look good, Too.	There are lots of ugly men singers.
There are lots of ugly men singers.	Men singers do not have to look good.
Men singers do not have to look good.	Then neither do women singers.
Then neither do women singers.	Well, I would never buy her cd.
Well, I would never buy her cd.	But you would buy her cd if she was pretty?
But you would buy her cd if she was pretty?	Yes. I would buy all of her cds.
All the tv stations are going to go digital.	Yes, That will occur next month.
Yes, That will occur next month.	Most of them are already broadcasting in digital.
Most of them are already broadcasting in digital.	The digital signal is very clear.
The digital signal is very clear.	Oh, No, It isn't!
Oh, No, It isn't!	What do you mean?
What do you mean?	I cannot get a single channel.
I cannot get a single channel.	Do you have a digital tv?
Do you have a digital tv?	Of course. But i do not have cable.
Of course. But i do not have cable.	You do not need to have cable, But you do need a good antenna.
You do not need to have cable, But you do need a good antenna.	But i have rabbit ears.
But i have rabbit ears.	Rabbit ears aren't strong enough. Buy a digital antenna.
I have got a date for you.	Oh, Really?
Oh, Really?	Are you interested?
Are you interested?	Maybe. What is she like?
Maybe. What is she like?	She is got a great personality.
She is got a great personality.	Uh-oh. That means that she is fat and ugly.
Uh-oh. That means that she is fat and ugly.	She is cute.
She is cute.	Okay, So she is not ugly; she is just fat.
Okay, So she is not ugly; she is just fat.	She weighs 98 pounds.
She weighs 98 pounds.	Okay, She is not fat. So what is the problem with her?
Okay, She is not fat. So what is the problem with her?	Who said there is a problem with her?
Who said there is a problem with her?	The problem is she has no problemsshe is too good for me!
I think you're very pretty.	Thank you.
Thank you.	Would you have dinner with me?
Would you have dinner with me?	I would like to.
I would like to.	Can i pick you up friday night?
Can i pick you up friday night?	What time?
What time?	Eight o'clock.
Eight o'clock.	That sounds great.
That sounds great.	We'll go to a french restaurant.
We'll go to a french restaurant.	I have never been to a french restaurant.
I have never been to a french restaurant.	I think you'll love the food.
I think you'll love the food.	I am not going to eat any snails!
You have pretty eyes.	Thank you. So do you.
Thank you. So do you.	I wish my eyes were blue.
I wish my eyes were blue.	What is the matter with green eyes?
What is the matter with green eyes?	Nothing, Except my favorite color is blue.
Nothing, Except my favorite color is blue.	Maybe in your next life you'll have blue eyes.
Maybe in your next life you'll have blue eyes.	But what if I am a fish in my next life?
But what if I am a fish in my next life?	I think some fish have blue eyes.
I think some fish have blue eyes.	I hope i do not come back as a fish.
I hope i do not come back as a fish.	I hope i come back as a cat.
I hope i come back as a cat.	Cats have beautiful eyes.
Cats have beautiful eyes.	I would love to have blue cat-eyes.
I love you.	I love you, Too.
I love you, Too.	I loved you the first day i saw you.
I loved you the first day i saw you.	It was love at first sight?
It was love at first sight?	Yes, It was love at first sight.
Yes, It was love at first sight.	I did not love you at first.
I did not love you at first.	I know. I had to chase you for a while.
I know. I had to chase you for a while.	Yes, You chased me and then you caught me.
Yes, You chased me and then you caught me.	Now you're mine forever.
Now you're mine forever.	And you're mine forever.
And you're mine forever.	We'll grow old together.
We'll grow old together.	And be happy together.
I am in love with that girl.	Have you told her?
Have you told her?	Of course not.
Of course not.	Why not?
Why not?	She would laugh at me.
She would laugh at me.	How do you know?
How do you know?	Because they always do.
Because they always do.	Maybe she is different.
Maybe she is different.	They are all the same.
They are all the same.	Just ask her out to dinner.
Just ask her out to dinner.	And then what?
And then what?	And then she'll know that you like her.
Give me a hug.	I am not in the mood.
I am not in the mood.	What is the matter?
What is the matter?	I saw you looking at that woman.
I saw you looking at that woman.	What woman?
What woman?	You know, That woman with the big boobs.
You know, That woman with the big boobs.	I was not looking at her.
I was not looking at her.	You were, Too.
You were, Too.	I am not interested in her.
I am not interested in her.	Then why were you looking at her?
Then why were you looking at her?	I was looking at something else.
I was looking at something else.	Oh, Really? Then spend tonight looking at the sofa.
Would you like to go on a blind date?	You must be joking.
You must be joking.	No, I am serious.
No, I am serious.	I do not want to date a blind woman.
I do not want to date a blind woman.	A blind date does not mean that she is blind!
A blind date does not mean that she is blind!	What does it mean?
What does it mean?	A blind date is a date with someone you do not know.
A blind date is a date with someone you do not know.	Why would i date someone i do not even know?
Why would i date someone i do not even know?	To try something new and exciting.
To try something new and exciting.	What if i do not like her?
What if i do not like her?	Then you do not date her again.
I have a date tomorrow night.	Really? Who with?
Really? Who with?	A girl i met at the market.
A girl i met at the market.	You met a girl at the supermarket?
You met a girl at the supermarket?	She was standing behind me in a really slow line at the checkout counter.
She was standing behind me in a really slow line at the checkout counter.	What did you say to her?
What did you say to her?	I had two pineapples in my cart, And she asked where i had found them.
I had two pineapples in my cart, And she asked where i had found them.	She asked you about your pineapples?
She asked you about your pineapples?	I told her i had gotten the last two on the shelf, But i offered her one of mine.
I told her i had gotten the last two on the shelf, But i offered her one of mine.	That was nice of you.
That was nice of you.	She asked me how she could return the favor, So i asked her out.
She asked me how she could return the favor, So i asked her out.	Sometimes a slow line can be a good thing.
Did you have a date friday night?	Yes, In fact, I did.
Yes, In fact, I did.	Who did you go out with?
Who did you go out with?	A man i met in a coffee shop.
A man i met in a coffee shop.	Where did you go?
Where did you go?	We went to a nice restaurant.
We went to a nice restaurant.	Anywhere else?
Anywhere else?	Then we went to a jazz club.
Then we went to a jazz club.	That sounds like a nice date.
That sounds like a nice date.	Yes, It was pleasant.
Yes, It was pleasant.	But you will not date him again?
But you will not date him again?	No. He was nice, But there was no chemistry.
I had the worst date the other night.	What happened?
What happened?	First of all, He was half an hour late.
First of all, He was half an hour late.	That is not a good start.
That is not a good start.	Then he did not bother to apologize.
Then he did not bother to apologize.	That is rude.
That is rude.	Then he drove too fast to the restaurant.
Then he drove too fast to the restaurant.	That is dangerous.
That is dangerous.	I thought about getting out and taking a taxi home.
I thought about getting out and taking a taxi home.	What happened at the restaurant?
What happened at the restaurant?	We had a $40 meal, And he left a $1 tip!
We had a $40 meal, And he left a $1 tip!	I guess you cannot go back to that restaurant.
I do not like that man.	Why not?
Why not?	He is a dirty old man.
He is a dirty old man.	What do you mean?
What do you mean?	He is old enough to be my father, Yet he asked me out.
He is old enough to be my father, Yet he asked me out.	Well, You cannot blame a man for asking.
Well, You cannot blame a man for asking.	He should act his age.
He should act his age.	But a lot of old people are still interested in dating.
But a lot of old people are still interested in dating.	They should find a nice hobby.
They should find a nice hobby.	Just wait until you're 50 years old.
Just wait until you're 50 years old.	Dating will be the furthest thing from my mind.
Dating will be the furthest thing from my mind.	That is what you say now. Wait till you're 50.
Does your girlfriend ever make you angry?	Sometimes.
Sometimes.	What does she do?
What does she do?	Just yesterday, I told her i would not trade her for all the money in the world.
Just yesterday, I told her i would not trade her for all the money in the world.	That was a nice thing to say.
That was a nice thing to say.	That is what i thought.
That is what i thought.	What did she say?
What did she say?	She laughed! She did not believe me.
She laughed! She did not believe me.	That wasn't very nice of her.
That wasn't very nice of her.	She said that nothing is more important to me than money.
She said that nothing is more important to me than money.	What did you say?
What did you say?	I told her i would not trade her for any other woman in the world.
Some people have good noses.	I wish i had a good nose. Mine is way too big.
I wish i had a good nose. Mine is way too big.	I do not mean good-looking. I mean good-smelling.
I do not mean good-looking. I mean good-smelling.	Oh. But that can be a curse.
Oh. But that can be a curse.	Yes, Because you can be too sensitive to odors.
Yes, Because you can be too sensitive to odors.	I will say. My girlfriend has a nose like a drug dog.
I will say. My girlfriend has a nose like a drug dog.	Did she catch you using drugs?
Did she catch you using drugs?	Sort of. She knows whenever i sneak a cigarette.
Sort of. She knows whenever i sneak a cigarette.	You do not need a good nose for thatcigarettes stink.
You do not need a good nose for thatcigarettes stink.	But when i sneak just one cigarette in the morning, She can smell it that evening!
But when i sneak just one cigarette in the morning, She can smell it that evening!	Boy, That is a good nose.
Boy, That is a good nose.	I told her she should apply for a job at customs.
Let us go out to eat.	That sounds like fun.
That sounds like fun.	Where do you want to go?
Where do you want to go?	Let me think a minute.
Let me think a minute.	I feel like chinese.
I feel like chinese.	That sounds delicious.
That sounds delicious.	I know a good chinese restaurant.
I know a good chinese restaurant.	How far away is it?
How far away is it?	It is only 10 minutes from here.
It is only 10 minutes from here.	Do we need reservations?
Do we need reservations?	Oh, No. We can walk right in.
Oh, No. We can walk right in.	Let us go now. I am hungry!
I cannot believe how long this line is.	This is a popular restaurant, Isn't it?
This is a popular restaurant, Isn't it?	Yes, But it isn't a fast-food restaurant, Is it?
Yes, But it isn't a fast-food restaurant, Is it?	It is the slowest hamburger in town.
It is the slowest hamburger in town.	That is because they cook it while you wait.
That is because they cook it while you wait.	Yes. That is why it is also the best hamburger in town.
Yes. That is why it is also the best hamburger in town.	A great burger and great service.
A great burger and great service.	Yes, The workers are very polite.
Yes, The workers are very polite.	And they are clean.
And they are clean.	I have been coming here for years.
I have been coming here for years.	Me too.
Me too.	Excuse me. They just called my number.
Lunch was delicious.	Thank you.
Thank you.	What kind of soup was that?
What kind of soup was that?	It was tomato soup.
It was tomato soup.	That tasted so good.
That tasted so good.	I put lemon and butter in it.
I put lemon and butter in it.	The sandwich was good, Too.
The sandwich was good, Too.	Everyone likes bacon and tomato sandwiches.
Everyone likes bacon and tomato sandwiches.	Especially on toast.
Especially on toast.	And the pickles were great, Too.
And the pickles were great, Too.	Tomorrow we'll have rice and fish for lunch.
Tomorrow we'll have rice and fish for lunch.	I cannot wait.
I am calling the waiter.	What is the matter?
What is the matter?	This steak has too much fat.
This steak has too much fat.	What do you want the waiter to do?
What do you want the waiter to do?	Bring me a better steak.
Bring me a better steak.	I would not do that.
I would not do that.	Why not?
Why not?	They will drop the new steak on the floor, Step on it, And then spit on it.
They will drop the new steak on the floor, Step on it, And then spit on it.	You're crazy.
You're crazy.	Then the waiter will give you a big smile as he brings you the new steak.
Then the waiter will give you a big smile as he brings you the new steak.	Where do you get these crazy ideas?
Where do you get these crazy ideas?	I used to cook in a restaurant!
Let us leave.	But we just got here.
But we just got here.	Did you see the waiter's hands?
Did you see the waiter's hands?	No.
No.	He had dirty fingernails.
He had dirty fingernails.	Really?
Really?	His nails were black!
His nails were black!	That is disgusting.
That is disgusting.	And he poured water into our glasses.
And he poured water into our glasses.	Yuck! No water for me.
Yuck! No water for me.	I wonder if the cooks' nails are dirty, Too.
I wonder if the cooks' nails are dirty, Too.	Who cares? Let us get out of here.
This hot bread is delicious.	I like this restaurant because they give you free bread.
I like this restaurant because they give you free bread.	Well, I think we are paying for it.
Well, I think we are paying for it.	No. Look at the bill when we get it. There is no charge for the bread.
No. Look at the bill when we get it. There is no charge for the bread.	It is delicious, Especially with butter.
It is delicious, Especially with butter.	I think we should just leave after we fill up on the bread.
I think we should just leave after we fill up on the bread.	They probably would not like that.
They probably would not like that.	I am eating so much bread that I am getting full.
I am eating so much bread that I am getting full.	Then stop eating the bread!
Then stop eating the bread!	Okay, Just one more piece. Pass the butter, Please.
Okay, Just one more piece. Pass the butter, Please.	If i owned a restaurant, I would never serve hot bread before the main course.
If i owned a restaurant, I would never serve hot bread before the main course.	That is terrible. I would never go to your restaurant.
Is this a clean restaurant?	Well, The tables and chairs look okay.
Well, The tables and chairs look okay.	Okay, Let us sit down.
Okay, Let us sit down.	Check out the silverware.
Check out the silverware.	It passes inspection.
It passes inspection.	Here comes the waiter. See if his hands and nails are clean.
Here comes the waiter. See if his hands and nails are clean.	Well, The waiter looked clean, So i guess it is okay to eat here.
Well, The waiter looked clean, So i guess it is okay to eat here.	You're forgetting about the bathroom.
You're forgetting about the bathroom.	I am going to just hope that the bathroom is clean.
I am going to just hope that the bathroom is clean.	You're not going to examine it before we order dinner?
You're not going to examine it before we order dinner?	No, I would rather not find out that it is dirty, Because I am pretty hungry right now.
No, I would rather not find out that it is dirty, Because I am pretty hungry right now.	Me, Too. Let us forget about germs and focus on food.
Have you seen our waiter?	Here he comes now.
Here he comes now.	We've been sitting here for almost 10 minutes.
We've been sitting here for almost 10 minutes.	Oops, I guess i was wrong. That isn't our waiter.
Oops, I guess i was wrong. That isn't our waiter.	We can give him five more minutes, And then leave.
We can give him five more minutes, And then leave.	I will go up front and talk to the manager.
I will go up front and talk to the manager.	That is a good idea.
That is a good idea.	Maybe they'll give us free drinks for waiting so long.
Maybe they'll give us free drinks for waiting so long.	Maybe he'll send us our waiter immediately.
Maybe he'll send us our waiter immediately.	Every time we eat out, It is an adventure.
Every time we eat out, It is an adventure.	Last time, We got seats next to the kitchen.
Last time, We got seats next to the kitchen.	We'll never go there again.
Is this table okay?	No, It is too close to the kitchen door.
No, It is too close to the kitchen door.	How about this table?
How about this table?	No, It is too close to the front door.
No, It is too close to the front door.	This looks like a nice table.
This looks like a nice table.	No, It is too close to the salad bar.
No, It is too close to the salad bar.	Okay, I give up.
Okay, I give up.	Well, There is one good table.
Well, There is one good table.	Great. Which one?
Great. Which one?	That one. A group of eight just sat down at it.
I do not believe the art world.	What is it this time?
What is it this time?	An andy warhol drawing.
An andy warhol drawing.	He is a famous artist.
He is a famous artist.	He drew two butterflies and a flower on a napkin in a restaurant.
He drew two butterflies and a flower on a napkin in a restaurant.	Did he sign it?
Did he sign it?	Yes.
Yes.	Is it beautiful?
Is it beautiful?	It is just black ink on a white napkin. And the napkin has food stains!
It is just black ink on a white napkin. And the napkin has food stains!	So it is not worth much?
So it is not worth much?	Only about $30, 000.
Only about $30, 000.	Without the food stains, It would probably be worth more.
Can we go to the baseball game?	Of course.
Of course.	I love baseball.
I love baseball.	So do i.
So do i.	I love to eat the peanuts.
I love to eat the peanuts.	I love to eat the hot dogs.
I love to eat the hot dogs.	I hope we'll see a home run.
I hope we'll see a home run.	I hope we'll catch a foul ball.
I hope we'll catch a foul ball.	Bring a jacket.
Bring a jacket.	Yes. It gets a little cool at night.
Yes. It gets a little cool at night.	Bring a glove to catch a foul ball.
Bring a glove to catch a foul ball.	No. I will just use my cap to catch a foul ball.
Golf is a silly game.	It certainly is.
It certainly is.	You hit a white ball.
You hit a white ball.	And then you chase it.
And then you chase it.	And then you hit it again.
And then you hit it again.	Finally, You put the ball into a hole in the ground.
Finally, You put the ball into a hole in the ground.	You do this 18 times, Because there are 18 holes.
You do this 18 times, Because there are 18 holes.	What is the point?
What is the point?	How can it be fun?
How can it be fun?	They pay money to play this silly game!
They pay money to play this silly game!	I think golfers have a mental problem.
I think golfers have a mental problem.	I think they are nuts.
Do you want to go fishing?	Yes. That is a good idea.
Yes. That is a good idea.	Where do you want to go?
Where do you want to go?	We can go to the river.
We can go to the river.	Or we can go to the lake.
Or we can go to the lake.	Or we can go to the ocean.
Or we can go to the ocean.	Let us go to the lake.
Let us go to the lake.	Yes. The lake is only 10 miles away.
Yes. The lake is only 10 miles away.	We can be there in 20 minutes.
We can be there in 20 minutes.	I will get our fishing rods.
I will get our fishing rods.	I will get the bait.
I will get the bait.	We'll have fresh fish for dinner!
Baseball is fun.	I like to hit the ball.
I like to hit the ball.	I like to run around the bases.
I like to run around the bases.	I like to slide into the bases.
I like to slide into the bases.	Yeah. It is a lot of fun to slide.
Yeah. It is a lot of fun to slide.	I want to be a baseball player when i grow up.
I want to be a baseball player when i grow up.	Me too. I want to play for the yankees.
Me too. I want to play for the yankees.	Not me. I want to play for the dodgers.
Not me. I want to play for the dodgers.	We have to practice every day.
We have to practice every day.	I do not like practice.
I do not like practice.	Me neither. It is boring.
Me neither. It is boring.	But practice makes perfect.
Let us go jogging.	That is a good idea.
That is a good idea.	I bought some new shoes.
I bought some new shoes.	Are they comfortable?
Are they comfortable?	They are very comfortable.
They are very comfortable.	How much were they?
How much were they?	They were on sale for $80.
They were on sale for $80.	Do they help you run faster?
Do they help you run faster?	No, But my feet do not hurt anymore.
No, But my feet do not hurt anymore.	Then they are worth every penny.
Then they are worth every penny.	You might want to buy a pair.
You might want to buy a pair.	I will wait until i wear this pair out.
Tiger is the greatest golfer in the world.	You can say that again.
You can say that again.	But I am worried about tiger.
But I am worried about tiger.	Why is that?
Why is that?	Because he likes to scuba dive.
Because he likes to scuba dive.	What is wrong with that?
What is wrong with that?	It can be dangerous.
It can be dangerous.	You mean he could drown.
You mean he could drown.	He should not scuba dive until he retires.
He should not scuba dive until he retires.	But he dives to relax.
But he dives to relax.	He might relax, But it makes me nervous.
He might relax, But it makes me nervous.	If his wife does not mind, You should not mind.
Did you watch that golf tournament?	The one that tiger won?
The one that tiger won?	How did he do it?
How did he do it?	It was nothing for him.
It was nothing for him.	He sank a 20-foot putt on the last hole to win by one stroke!
He sank a 20-foot putt on the last hole to win by one stroke!	He sank a 25-footer last year at the same tournament to win by one stroke.
He sank a 25-footer last year at the same tournament to win by one stroke.	I think he is from outer space.
I think he is from outer space.	No human could possibly play golf that well.
No human could possibly play golf that well.	Whenever he needs a shot to win a tournament, He makes that shot.
Whenever he needs a shot to win a tournament, He makes that shot.	No human can do that.
No human can do that.	Somebody should check his birth record.
Somebody should check his birth record.	I bet it says he was born on mars.
Who is the greatest baseball player?	There are so many great players.
There are so many great players.	Yes, But who is the greatest?
Yes, But who is the greatest?	I would have to say babe ruth.
I would have to say babe ruth.	Most people would say that.
Most people would say that.	He changed the game.
He changed the game.	Yes, He made the home run popular.
Yes, He made the home run popular.	Everybody loved him, All over the nation.
Everybody loved him, All over the nation.	He helped make the yankees the best team ever.
He helped make the yankees the best team ever.	And ruth was a good person, Too.
And ruth was a good person, Too.	He always visited hospitals to cheer up sick kids.
He always visited hospitals to cheer up sick kids.	There will never be another babe.
Did you hear what happened at the baseball game?	No, Please tell me.
No, Please tell me.	Someone punched out someone.
Someone punched out someone.	That is not nice.
That is not nice.	It is worse than that.
It is worse than that.	How so?
How so?	Two guys got into an argument.
Two guys got into an argument.	I will bet they were drinking.
I will bet they were drinking.	A third guy punched one of the two guys.
A third guy punched one of the two guys.	I will bet he was drinking, Too.
I will bet he was drinking, Too.	The victim hit his head on the concrete steps and died.
The victim hit his head on the concrete steps and died.	That is terrible. Cannot people just have fun at a baseball game?
I want to go to the ball game.	Is there a game tonight?
Is there a game tonight?	Yes, It starts at 7 p.M.
Yes, It starts at 7 p.M.	Can we get tickets?
Can we get tickets?	Yes, But only the cheap tickets.
Yes, But only the cheap tickets.	How much are they?
How much are they?	They are only $5 each.
They are only $5 each.	That is a good price.
That is a good price.	Yes, It is cheaper than a hot dog or a beer.
Yes, It is cheaper than a hot dog or a beer.	Where are the seats?
Where are the seats?	They are behind the outfield.
They are behind the outfield.	Maybe we can catch a home run ball.
Golf is so hard.	What is so hard about hitting a little white ball?
What is so hard about hitting a little white ball?	It is hard if you want to do it right.
It is hard if you want to do it right.	You mean like tiger?
You mean like tiger?	No, Like a good amateur golfer.
No, Like a good amateur golfer.	What is so hard about golf?
What is so hard about golf?	There are so many things you have to do right.
There are so many things you have to do right.	Like what?
Like what?	Like keep your left arm straight, Keep your head down, And follow through.
Like keep your left arm straight, Keep your head down, And follow through.	Yikes! Who can remember all that?
Yikes! Who can remember all that?	You need to get a lot of lessons when you're really young.
You need to get a lot of lessons when you're really young.	Forget it. Golf sounds more like work than fun.
Did you hear about the ball player?	The home run hitter on drugs?
The home run hitter on drugs?	He said a doctor helped him with a personal problem.
He said a doctor helped him with a personal problem.	He said he wasn't using drugs.
He said he wasn't using drugs.	He apologized to the fans.
He apologized to the fans.	The league suspended him for 50 games.
The league suspended him for 50 games.	That will cost him some money.
That will cost him some money.	Yes, About $7 million.
Yes, About $7 million.	That will teach him a good lesson.
That will teach him a good lesson.	He probably will not use drugs anymore.
He probably will not use drugs anymore.	But it will not stop other players from using drugs.
But it will not stop other players from using drugs.	No. Everyone always figures that they will not get caught.
Why is there so much crime?	Because parents do not teach their kids right from wrong.
Because parents do not teach their kids right from wrong.	Is that it?
Is that it?	Also, There aren't enough police.
Also, There aren't enough police.	But there are a lot of police.
But there are a lot of police.	There is only one police officer per 100 criminals.
There is only one police officer per 100 criminals.	Cannot we hire more police?
Cannot we hire more police?	No. It costs too much money.
No. It costs too much money.	Does not crime cost more than police?
Does not crime cost more than police?	Yes, It does.
Yes, It does.	So it would be cheaper to hire more police?
So it would be cheaper to hire more police?	Yes, It would.
This is a great neighborhood.	Yes, It is.
Yes, It is.	People are friendly.
People are friendly.	Yes, They are.
Yes, They are.	The streets and sidewalks are clean.
The streets and sidewalks are clean.	Yes, They are.
Yes, They are.	There is a real nice park nearby.
There is a real nice park nearby.	Yes, There is.
Yes, There is.	I feel safe here.
I feel safe here.	There is no crime here.
There is no crime here.	I wish i could move here.
I wish i could move here.	Maybe you can, If someone moves out.
The house burned down.	What happened?
What happened?	The man fell asleep.
The man fell asleep.	Was he smoking?
Was he smoking?	Yes, He was smoking a cigarette.
Yes, He was smoking a cigarette.	Did he die?
Did he die?	Yes, He did. His cat died, Too.
Yes, He did. His cat died, Too.	That is too bad. What about his smoke alarm?
That is too bad. What about his smoke alarm?	The battery was dead.
The battery was dead.	A good battery would have saved his life.
A good battery would have saved his life.	He had cigarettes, But no battery.
